subsystem,tagName
Air Inlet,Air Inlet Pressure
Air Inlet,Air Inlet Temperature
Air Inlet,Ambient Relative Humidity
Air Inlet,Air Inlet After Filter Pressure
Air Inlet,Air Inlet Pressure 2
Air Inlet,Air Inlet Pressure 3
Air Inlet,Air Inlet Pressure 4
Air Inlet,Air Inlet Speed 1
Air Inlet,Air Inlet Speed 2
Air Inlet,Air Inlet Speed 3
Gas Compressor Section 1,V650201_GG_Speed
Gas Compressor Section 1,V650201_GG_Speed1
Gas Compressor Section 1,V650201_GG_Speed2
Gas Compressor Section 1,V650201_GG_Aft_Vibration
Gas Compressor Section 1,V650201_GG_Aft_Vibration1
Gas Compressor Section 1,V650201_GG_Aft_Vibration2
Gas Compressor Section 1,V650201_LUBE_SLO_Supply_Temp
Gas Compressor Section 1,V650201_LUBE_SLO_Supply_TempA
Gas Compressor Section 1,V650201_LUBE_SLO_Supply_TempB
Gas Compressor Section 1,V650201_GB_HSS_Speed
Gas Compressor Section 2,V650201_GG_CompDisch_Press
Gas Compressor Section 2,V650201_GG_CompDisch_Press1
Gas Compressor Section 2,V650201_GG_CompDisch_Press2
Gas Compressor Section 2,V650201_GG_Speed
Gas Compressor Section 2,V650201_GG_Speed1
Gas Compressor Section 2,V650201_GG_Speed2
Gas Compressor Section 2,V650201_GG_IGV_A_ServoPosition
Gas Compressor Section 2,V650201_GG_IGV_B_ServoPosition
Gas Compressor Section 2,V650201_GG_CompDisch_Temp
Gas Compressor Section 2,V650201_GG_CompDisch_TempA
Gas Compressor Section 2,V650201_GG_CompDisch_TempAB
Gas Compressor Section 2,V650201_GG_CompDisch_TempB
Gas Compressor Section 2,V650201_GG_CompDisch_TempC
Gas Compressor Section 2,V650201_GG_CompDisch_TempCD
Gas Compressor Section 2,V650201_GG_CompDisch_TempD
Gas Compressor Section 2,V650201_GG_CompInlet_Press
Gas Compressor Section 2,V650201_GG_CompInlet_Temp
Gas Compressor Section 2,V650201_GG_CompInlet_Temp1
Gas Compressor Section 2,V650201_GG_CompInlet_Temp2
Gas Compressor Section 2,V650201_GG_IGV_Filter_DiffPress
Gas Compressor Section 2,V650201_GG_IGV_Header_Press
Gas Compressor Section 2,V650201_GB_HSS_Speed
Gas Compressor Section 3,V650201_COMP_DGS_SepSeal_Inlet_Press
Gas Compressor Section 3,V650201_COMP_DGS_PrimSeal_CoalescerFilter1_Level
Gas Compressor Section 3,V650201_COMP_DGS_PrimSeal_CoalescerFilter2_Level_Select
Gas Compressor Section 3,V650201_COMP_DGS_PrimSeal_CoalescerFilter_DiffPress
Gas Compressor Section 3,V650201_COMP_DGS_PrimSeal_Filter_DiffPress
Gas Compressor Section 3,V650201_COMP_DGS_SecSeal_Filter_DiffPress
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_PrimSeal_Flow
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_PrimSeal_FlowOrifice_DiffPress
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_PrimSeal_InletToVent_DiffPress
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_PrimSeal_InletToVent_DiffPress1
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_PrimSeal_InletToVent_DiffPress2
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_PrimSeal_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_PrimSeal_Vent_Flow
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_PrimSeal_Vent_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_SecSeal_FlowOrifice_DiffPress
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_SecSeal_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_SecSeal_Vent_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_SepSeal_FlowOrifice_DiffPress
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_SepSeal_InletToVent_DiffPress
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_DE_SepSeal_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_BalanceLine_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_PrimSeal_CtrlVlv_Position
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_PrimSeal_Supply_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_PrimSeal_Supply_Temp
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_SecSeal_CtrlVlv_Position
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_PrimSeal_Flow
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_PrimSeal_FlowOrifice_DiffPress
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_PrimSeal_InletToVent_DiffPress
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_PrimSeal_InletToVent_DiffPress1
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_PrimSeal_InletToVent_DiffPress2
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_PrimSeal_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_PrimSeal_Vent_Flow
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_PrimSeal_Vent_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_SecSeal_FlowOrifice_DiffPress
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_SecSeal_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_SecSeal_Vent_Press
Gas Compressor Section 3,V650201_COMP_LG_HP_DGS_NDE_SepSeal_FlowOrifice_DiffPress
